Date,Open,High,Low,Close,Adj Close,Volume
2021-09-15,230.559998,236.600006,230.410004,233.979996,232.067017,1469300
2021-09-16,232.300003,232.559998,225.350006,231.250000,229.742279,1323100
2021-09-17,228.440002,230.000000,223.750000,226.850006,225.370972,2097300
2021-09-20,216.649994,218.000000,210.240005,215.479996,214.075104,2246600
2021-09-21,218.639999,220.350006,213.529999,216.490005,215.078522,1008900
2021-09-22,219.699997,226.639999,217.020004,223.279999,221.824249,904500
2021-09-23,226.889999,232.240005,226.889999,229.149994,227.655975,1055100
2021-09-24,227.889999,229.669998,224.720001,226.399994,224.923904,704200
2021-09-27,225.990005,226.679993,220.029999,222.250000,220.800964,843700
2021-09-28,219.009995,219.940002,215.059998,216.449997,215.038788,984200
2021-09-29,218.809998,220.919998,216.399994,218.970001,217.542343,740400
2021-09-30,223.639999,228.850006,218.839996,218.970001,217.542343,1019700
2021-10-01,219.470001,221.630005,210.490005,218.889999,217.462875,1116200
2021-10-04,219.000000,220.050003,212.610001,215.210007,213.806870,1015800
2021-10-05,217.020004,223.820007,215.149994,222.389999,220.940033,1049600
2021-10-06,220.000000,222.770004,214.559998,222.369995,220.920181,1005800
2021-10-07,226.000000,226.940002,221.899994,222.300003,220.850647,641000
2021-10-08,221.979996,222.759995,213.559998,215.059998,213.657837,1260600
2021-10-11,215.100006,219.179993,213.899994,214.160004,212.763718,743100
2021-10-12,217.960007,218.949997,214.869995,216.869995,215.456039,707300
2021-10-13,218.500000,226.220001,217.899994,223.660004,222.201767,1016400
2021-10-14,225.050003,232.380005,225.039993,231.330002,229.821762,1127900
2021-10-15,233.589996,234.539993,228.619995,228.770004,227.278442,908300
2021-10-18,227.839996,237.869995,227.539993,236.910004,235.365387,1223100
2021-10-19,243.770004,244.360001,233.070007,235.949997,234.411636,1069900
2021-10-20,238.389999,238.990005,232.630005,235.169998,233.636703,911700
2021-10-21,233.919998,235.800003,230.399994,234.160004,232.633301,656500
2021-10-22,235.479996,237.690002,230.929993,231.509995,230.000565,761800
2021-10-25,234.899994,243.000000,232.139999,239.440002,237.878891,1600500
2021-10-26,239.440002,242.149994,234.000000,236.160004,234.620270,1121200
2021-10-27,236.699997,238.639999,230.630005,231.750000,230.239029,1140400
2021-10-28,233.259995,246.210007,232.750000,246.210007,244.604752,1569900
2021-10-29,239.750000,251.800003,236.089996,250.470001,248.836975,4261200
2021-11-01,256.000000,259.179993,249.589996,255.869995,254.201752,1638100
2021-11-02,256.000000,260.989990,251.550003,260.019989,258.324707,1631500
2021-11-03,258.489990,263.500000,255.490005,261.950012,260.242126,1172500
2021-11-04,273.769989,276.000000,264.049988,272.660004,270.882324,1841800
2021-11-05,273.790009,274.989990,267.480011,272.510010,270.733307,990800
2021-11-08,275.799988,279.950012,272.619995,278.519989,276.704041,1234600
2021-11-09,280.000000,282.869995,271.070007,274.570007,272.779877,1051000
2021-11-10,269.890015,274.079987,263.570007,265.750000,264.017365,1331100
2021-11-11,266.570007,273.380005,263.959991,272.309998,270.534576,785700
2021-11-12,272.489990,276.619995,270.100006,276.399994,274.597900,767700
2021-11-15,275.829987,276.529999,265.320007,271.290009,269.521240,946100
2021-11-16,269.559998,273.489990,267.029999,272.470001,270.693573,674400
2021-11-17,273.200012,275.899994,270.250000,273.390015,271.607544,603300
2021-11-18,277.000000,278.239990,269.589996,274.660004,272.869263,823400
2021-11-19,274.049988,282.549988,272.880005,281.429993,279.595123,1028800
2021-11-22,287.260010,291.480011,281.100006,283.799988,281.949646,2346100
2021-11-23,282.000000,286.489990,271.040009,275.160004,273.365997,1329500
2021-11-24,272.279999,275.000000,267.109985,274.480011,272.690430,974400
2021-11-26,265.000000,269.679993,262.839996,266.850006,265.110168,884300
2021-11-29,271.290009,277.470001,268.200012,275.890015,274.091248,1004800
2021-11-30,275.000000,277.589996,264.299988,266.489990,264.752502,1377500
2021-12-01,270.010010,276.000000,259.799988,259.850006,258.155792,1247400
2021-12-02,261.000000,264.899994,255.350006,261.390015,259.685760,1204300
2021-12-03,262.260010,267.809998,247.119995,251.470001,249.830444,1623500
2021-12-06,251.949997,252.690002,239.110001,248.539993,246.919556,1036000
2021-12-07,253.259995,263.190002,253.259995,259.529999,257.837891,888200
2021-12-08,261.000000,265.859985,258.690002,264.640015,262.914581,832600
2021-12-09,261.440002,266.489990,257.299988,257.470001,255.791336,682200
2021-12-10,260.510010,263.559998,257.220001,262.869995,261.156097,667500
2021-12-13,263.000000,263.079987,247.949997,248.800003,247.177856,1101600
2021-12-14,245.940002,247.649994,239.710007,243.830002,242.240250,1207700
2021-12-15,229.320007,240.479996,226.940002,239.789993,238.226608,1854800
2021-12-16,242.690002,243.000000,228.399994,230.919998,229.788162,1470100
2021-12-17,227.070007,232.520004,222.259995,229.869995,228.743317,2350400
2021-12-20,220.110001,223.169998,215.679993,218.130005,217.060867,1703200
2021-12-21,222.419998,225.000000,219.770004,224.149994,223.051346,805800
2021-12-22,224.000000,228.929993,223.419998,225.229996,224.126053,779100
2021-12-23,225.690002,229.479996,223.169998,227.899994,226.782959,810000
2021-12-27,229.539993,233.339996,227.500000,233.100006,231.957489,593400
2021-12-28,236.110001,236.710007,231.020004,232.800003,231.658966,704600
2021-12-29,231.500000,232.910004,227.070007,232.529999,231.390274,573800
2021-12-30,231.000000,237.220001,231.000000,234.350006,233.201355,610200
2021-12-31,234.009995,237.130005,233.470001,233.770004,232.624207,380300
2022-01-03,236.729996,239.050003,229.399994,236.669998,235.509995,1130500
2022-01-04,239.020004,247.949997,238.470001,242.580002,241.391022,1142500
2022-01-05,240.000000,247.429993,235.380005,235.639999,234.485046,1072100
2022-01-06,234.000000,235.669998,227.169998,233.380005,232.236115,1002400
2022-01-07,234.009995,238.869995,231.729996,236.020004,234.863174,795700
2022-01-10,231.000000,233.000000,220.080002,226.970001,225.857529,1105400
2022-01-11,227.660004,240.899994,227.149994,240.169998,238.992828,987000
2022-01-12,245.000000,248.000000,239.570007,241.070007,239.888428,1143300
2022-01-13,242.960007,246.789993,234.520004,235.229996,234.077026,610700
2022-01-14,232.000000,235.880005,228.929993,233.669998,232.524689,557100
2022-01-18,230.970001,232.270004,224.320007,226.300003,225.190811,773900
2022-01-19,227.820007,229.190002,219.580002,219.690002,218.613205,705600
2022-01-20,220.690002,227.270004,214.800003,217.149994,216.085648,1190800
2022-01-21,214.039993,219.490005,207.740005,212.750000,211.707214,1345200
2022-01-24,205.960007,212.779999,197.139999,211.919998,210.881287,1994700
2022-01-25,208.110001,210.839996,204.139999,206.009995,205.000259,1231900
2022-01-26,211.550003,214.649994,202.559998,205.619995,204.612167,1082600
2022-01-27,212.830002,214.889999,203.220001,205.429993,204.423096,942500
2022-01-28,204.830002,206.449997,197.000000,206.229996,205.219193,819500
2022-01-31,207.000000,220.960007,207.000000,220.740005,219.658066,1137000
2022-02-01,227.559998,229.410004,219.850006,225.199997,224.096207,916700
2022-02-02,225.910004,226.960007,220.970001,221.490005,220.404388,818600
2022-02-03,218.000000,220.990005,214.580002,215.059998,214.005905,654300
2022-02-04,214.500000,219.000000,213.449997,216.020004,214.961212,720600
2022-02-07,217.460007,223.880005,217.220001,219.779999,218.702774,780100
2022-02-08,218.929993,227.410004,218.289993,226.690002,225.578903,1128400
2022-02-09,231.080002,237.820007,231.080002,236.429993,235.271149,972400
2022-02-10,233.449997,244.309998,232.149994,236.039993,234.883072,795700
2022-02-11,233.470001,239.089996,228.610001,230.889999,229.758316,1009800
2022-02-14,230.179993,233.880005,224.910004,227.679993,226.564041,875100
2022-02-15,232.119995,242.869995,232.119995,241.389999,240.206863,1042100
2022-02-16,241.009995,247.979996,236.199997,246.000000,244.794250,1394800
2022-02-17,218.490005,221.000000,194.830002,197.020004,196.054337,6180600
2022-02-18,200.020004,201.410004,187.009995,190.759995,189.824997,3060900
2022-02-22,189.100006,199.630005,188.600006,191.850006,190.909653,1635500
2022-02-23,193.000000,196.119995,180.820007,182.000000,181.107941,1644000
2022-02-24,172.259995,184.960007,169.929993,184.199997,183.297165,1979800
2022-02-25,184.399994,192.000000,180.179993,191.949997,191.009171,1135300
2022-02-28,192.600006,200.880005,190.529999,195.889999,194.929855,1583600
2022-03-01,194.479996,196.940002,184.240005,186.440002,185.526199,992000
2022-03-02,189.149994,192.110001,183.770004,191.119995,190.183243,840600
2022-03-03,193.500000,194.830002,184.509995,186.330002,185.416733,1071900
2022-03-04,182.990005,184.759995,174.720001,179.070007,178.192307,1313900
2022-03-07,180.580002,181.809998,171.139999,172.089996,171.246521,1051400
2022-03-08,171.529999,184.619995,170.009995,180.740005,179.854126,1463500
2022-03-09,188.539993,189.929993,182.229996,187.130005,186.212814,1332400
2022-03-10,184.619995,189.309998,183.509995,188.369995,187.446716,785600
2022-03-11,188.770004,191.449997,184.639999,184.759995,183.854416,769600
2022-03-14,184.869995,186.169998,175.259995,176.289993,175.425919,973200
2022-03-15,175.360001,182.699997,172.779999,181.949997,181.058197,834400
2022-03-16,185.869995,193.979996,185.759995,191.250000,190.312607,890700
2022-03-17,187.839996,196.600006,187.839996,196.369995,195.811920,706600
2022-03-18,196.649994,199.070007,194.649994,198.240005,197.676636,1347100
2022-03-21,199.020004,200.630005,193.000000,198.679993,198.115372,818500
2022-03-22,198.979996,206.350006,197.910004,205.600006,205.015701,990600
2022-03-23,203.210007,212.220001,202.660004,208.210007,207.618286,903500
2022-03-24,208.000000,214.679993,206.479996,214.149994,213.541397,753000
2022-03-25,214.110001,218.020004,212.419998,217.580002,216.961655,836300
2022-03-28,217.410004,218.970001,210.330002,214.339996,213.730850,832800
2022-03-29,218.000000,223.889999,214.130005,222.479996,221.847733,859500
